¹,EC,Protein,R_1,R_2,R_3,R_4,R_5,R_6,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8
152,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),"(5Z,13E,15S)-11alpha,15-dihydroxy-9-oxoprost-5,13-dienoate",NAD+,NA,NA,NA,NA,"(5Z,13E)-11alpha-hydroxy-9,15-dioxoprost-5,13-dienoate",NADH,H+,NA,NA,NA,NA,NA
153,1.1.1.142,D-pinitol dehydrogenase,1D-3-O-methyl-chiro-inositol,NADP+,NA,NA,NA,NA,"2D-5-O-methyl-2,3,5/4,6-pentahydroxycyclohexanone",NADPH,H+,NA,NA,NA,NA,NA
154,1.1.1.143,sequoyitol dehydrogenase,5-O-methyl-myo-inositol,NAD+,NA,NA,NA,NA,"2D-5-O-methyl-2,3,5/4,6-pentahydroxycyclohexanone",NADH,H+,NA,NA,NA,NA,NA
155,1.1.1.144,perillyl-alcohol dehydrogenase,perillyl alcohol,NAD+,NA,NA,NA,NA,perillyl aldehyde,NADH,H+,NA,NA,NA,NA,NA
156,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,a 3beta-hydroxy-DELTA5-steroid,NAD+,NA,NA,NA,NA,a 3-oxo-DELTA5-steroid,NADH,H+,NA,NA,NA,NA,NA
157,1.1.1.146,11beta-hydroxysteroid dehydrogenase,an 11beta-hydroxysteroid,NADP+,NA,NA,NA,NA,an 11-oxosteroid,NADPH,H+,NA,NA,NA,NA,NA
158,1.1.1.147,16alpha-hydroxysteroid dehydrogenase,a 16alpha-hydroxysteroid,NAD(P)+,NA,NA,NA,NA,a 16-oxosteroid,NAD(P)H,H+,NA,NA,NA,NA,NA
159,1.1.1.148,estradiol 17alpha-dehydrogenase,estradiol-17alpha,NAD(P)+,NA,NA,NA,NA,estrone,NAD(P)H,H+,NA,NA,NA,NA,NA
160,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,"17alpha,20alpha-dihydroxypregn-4-en-3-one",NAD(P)+,NA,NA,NA,NA,17alpha-hydroxyprogesterone,NAD(P)H,H+,NA,NA,NA,NA,NA
161,1.1.1.150,21-hydroxysteroid dehydrogenase (NAD+),pregnan-21-ol,NAD+,NA,NA,NA,NA,pregnan-21-al,NADH,H+,NA,NA,NA,NA,NA
162,1.1.1.151,21-hydroxysteroid dehydrogenase (NADP+),pregnan-21-ol,NADP+,NA,NA,NA,NA,pregnan-21-al,NADPH,H+,NA,NA,NA,NA,NA
163,1.1.1.152,3alpha-hydroxy-5beta-androstane-17-one 3alpha-dehydrogenase,3alpha-hydroxy-5beta-androstane-17-one,NAD+,NA,NA,NA,NA,"5beta-androstane-3,17-dione",NADH,H+,NA,NA,NA,NA,NA
164,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)","L-erythro-7,8-dihydrobiopterin",NADP+,NA,NA,NA,NA,sepiapterin,NADPH,H+,NA,NA,NA,NA,NA
165,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",L-erythro-tetrahydrobiopterin,NADP+,NA,NA,NA,NA,"6-pyruvoyl-5,6,7,8-tetrahydropterin",NADPH,H+,NA,NA,NA,NA,NA
166,1.1.1.154,ureidoglycolate dehydrogenase,(S)-ureidoglycolate,NAD(P)+,NA,NA,NA,NA,oxalureate,NAD(P)H,H+,NA,NA,NA,NA,NA
167,1.1.1.156,glycerol 2-dehydrogenase (NADP+),glycerol,NADP+,NA,NA,NA,NA,glycerone,NADPH,H+,NA,NA,NA,NA,NA
168,1.1.1.157,3-hydroxybutyryl-CoA dehydrogenase,(S)-3-hydroxybutanoyl-CoA,NADP+,NA,NA,NA,NA,3-acetoacetyl-CoA,NADPH,H+,NA,NA,NA,NA,NA
169,1.1.1.159,7alpha-hydroxysteroid dehydrogenase,cholate,NAD+,NA,NA,NA,NA,"3alpha,12alpha-dihydroxy-7-oxo-5beta-cholan-24-oate",NADH,H+,NA,NA,NA,NA,NA
170,1.1.1.160,dihydrobunolol dehydrogenase,"(+/-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol",NADP+,NA,NA,NA,NA,"(+/-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-3,4-dihydro-1(2H)-naphthalenone",NADPH,H+,NA,NA,NA,NA,NA
171,1.1.1.162,erythrulose reductase,D-threitol,NADP+,NA,NA,NA,NA,D-erythrulose,NADPH,H+,NA,NA,NA,NA,NA
172,1.1.1.163,cyclopentanol dehydrogenase,cyclopentanol,NAD+,NA,NA,NA,NA,cyclopentanone,NADH,H+,NA,NA,NA,NA,NA
173,1.1.1.164,hexadecanol dehydrogenase,hexadecanol,NAD+,NA,NA,NA,NA,hexadecanal,NADH,H+,NA,NA,NA,NA,NA
174,1.1.1.165,2-alkyn-1-ol dehydrogenase,"2-butyne-1,4-diol",NAD+,NA,NA,NA,NA,4-hydroxy-2-butynal,NADH,H+,NA,NA,NA,NA,NA
175,1.1.1.166,hydroxycyclohexanecarboxylate dehydrogenase,"(1S,3R,4S)-3,4-dihydroxycyclohexane-1-carboxylate",NAD+,NA,NA,NA,NA,"(1S,4S)-4-hydroxy-3-oxocyclohexane-1-carboxylate",NADH,H+,NA,NA,NA,NA,NA
176,1.1.1.167,hydroxymalonate dehydrogenase,hydroxymalonate,NAD+,NA,NA,NA,NA,oxomalonate,NADH,H+,NA,NA,NA,NA,NA
177,1.1.1.168,2-dehydropantolactone reductase (Re-specific),(R)-pantolactone,NADP+,NA,NA,NA,NA,2-dehydropantolactone,NADPH,H+,NA,NA,NA,NA,NA
178,1.1.1.169,2-dehydropantoate 2-reductase,(R)-pantoate,NADP+,NA,NA,NA,NA,2-dehydropantoate,NADPH,H+,NA,NA,NA,NA,NA
179,1.1.1.170,3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating),a 3beta-hydroxysteroid-4alpha-carboxylate,NAD(P)+,NA,NA,NA,NA,a 3-oxosteroid,CO2,NAD(P)H,NA,NA,NA,NA,NA
180,1.1.1.172,2-oxoadipate reductase,2-hydroxyadipate,NAD+,NA,NA,NA,NA,2-oxoadipate,NADH,H+,NA,NA,NA,NA,NA
181,1.1.1.173,L-rhamnose 1-dehydrogenase,L-rhamnofuranose,NAD+,NA,NA,NA,NA,"L-rhamno-1,4-lactone",NADH,H+,NA,NA,NA,NA,NA
182,1.1.1.174,"cyclohexane-1,2-diol dehydrogenase","trans-cyclohexane-1,2-diol",NAD+,NA,NA,NA,NA,2-hydroxycyclohexan-1-one,NADH,H+,NA,NA,NA,NA,NA
183,1.1.1.175,D-xylose 1-dehydrogenase,D-xylose,NAD+,NA,NA,NA,NA,D-xylonolactone,NADH,H+,NA,NA,NA,NA,NA
184,1.1.1.176,12alpha-hydroxysteroid dehydrogenase,cholate,NADP+,NA,NA,NA,NA,"3alpha,7alpha-dihydroxy-12-oxo-5beta-cholan-24-oate",NADPH,H+,NA,NA,NA,NA,NA
185,1.1.1.177,glycerol-3-phosphate 1-dehydrogenase (NADP+),sn-glycerol 3-phosphate,NADP+,NA,NA,NA,NA,D-glyceraldehyde 3-phosphate,NADPH,H+,NA,NA,NA,NA,NA
186,1.1.1.178,3-hydroxy-2-methylbutyryl-CoA dehydrogenase,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA",NAD+,NA,NA,NA,NA,2-methylacetoacetyl-CoA,NADH,H+,NA,NA,NA,NA,NA
187,1.1.1.179,"D-xylose 1-dehydrogenase (NADP+, D-xylono-1,5-lactone-forming)",D-xylose,NADP+,NA,NA,NA,NA,"D-xylono-1,5-lactone",NADPH,H+,NA,NA,NA,NA,NA
188,1.1.1.181,"cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase","cholest-5-ene-3beta,7alpha-diol",NAD+,NA,NA,NA,NA,7alpha-hydroxycholest-4-en-3-one,NADH,H+,NA,NA,NA,NA,NA
189,1.1.1.183,geraniol dehydrogenase (NADP+),geraniol,NADP+,NA,NA,NA,NA,geranial,NADPH,H+,NA,NA,NA,NA,NA
190,1.1.1.184,carbonyl reductase (NADPH),R-CHOH-R',NADP+,NA,NA,NA,NA,R-CO-R',NADPH,H+,NA,NA,NA,NA,NA
191,1.1.1.185,L-glycol dehydrogenase,an L-glycol,NAD(P)+,NA,NA,NA,NA,a 2-hydroxycarbonyl compound,NAD(P)H,H+,NA,NA,NA,NA,NA
192,1.1.1.186,dTDP-galactose 6-dehydrogenase,dTDP-D-galactose,NADP+,H2O,NA,NA,NA,dTDP-D-galacturonate,NADPH,H+,NA,NA,NA,NA,NA
193,1.1.1.187,GDP-4-dehydro-D-rhamnose reductase,GDP-alpha-D-rhamnose,NAD(P)+,NA,NA,NA,NA,GDP-4-dehydro-alpha-D-rhamnose,NAD(P)H,H+,NA,NA,NA,NA,NA
194,1.1.1.188,prostaglandin-F synthase,"(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate",NADP+,NA,NA,NA,NA,"(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate",NADPH,H+,NA,NA,NA,NA,NA
195,1.1.1.189,prostaglandin-E2 9-reductase,"(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate",NADP+,NA,NA,NA,NA,"(5Z,13E)-(15S)-11alpha,15-dihydroxy-9-oxoprosta-5,13-dienoate",NADPH,H+,NA,NA,NA,NA,NA
196,1.1.1.190,indole-3-acetaldehyde reductase (NADH),(indol-3-yl)ethanol,NAD+,NA,NA,NA,NA,(indol-3-yl)acetaldehyde,NADH,H+,NA,NA,NA,NA,NA
197,1.1.1.191,indole-3-acetaldehyde reductase (NADPH),(indol-3-yl)ethanol,NADP+,NA,NA,NA,NA,(indol-3-yl)acetaldehyde,NADPH,H+,NA,NA,NA,NA,NA
198,1.1.1.192,long-chain-alcohol dehydrogenase,a long-chain alcohol,NAD+,H2O,NA,NA,NA,a long-chain carboxylate,NADH,H+,NA,NA,NA,NA,NA
199,1.1.1.193,5-amino-6-(5-phosphoribosylamino)uracil reductase,5-amino-6-(5-phospho-D-ribitylamino)uracil,NADP+,NA,NA,NA,NA,5-amino-6-(5-phospho-D-ribosylamino)uracil,NADPH,H+,NA,NA,NA,NA,NA
200,1.1.1.194,coniferyl-alcohol dehydrogenase,coniferyl alcohol,NADP+,NA,NA,NA,NA,coniferyl aldehyde,NADPH,H+,NA,NA,NA,NA,NA
201,1.1.1.195,cinnamyl-alcohol dehydrogenase,cinnamyl alcohol,NADP+,NA,NA,NA,NA,cinnamaldehyde,NADPH,H+,NA,NA,NA,NA,NA
202,1.1.1.196,15-hydroxyprostaglandin-D dehydrogenase (NADP+),"(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate",NADP+,NA,NA,NA,NA,"(5Z,13E)-9alpha-hydroxy-11,15-dioxoprosta-5,13-dienoate",NADPH,H+,NA,NA,NA,NA,NA
203,1.1.1.197,15-hydroxyprostaglandin dehydrogenase (NADP+),"(13E)-(15S)-11alpha,15-dihydroxy-9-oxoprost-13-enoate",NADP+,NA,NA,NA,NA,"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",NADPH,H+,NA,NA,NA,NA,NA
204,1.1.1.198,(+)-borneol dehydrogenase,(+)-borneol,NAD+,NA,NA,NA,NA,(+)-camphor,NADH,H+,NA,NA,NA,NA,NA
205,1.1.1.199,(S)-usnate reductase,"(6R)-2-acetyl-6-(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)-3-hydroxy-6-methyl-2,4-cyclohexadien-1-one",NAD+,NA,NA,NA,NA,(S)-usnate,NADH,H+,NA,NA,NA,NA,NA
206,1.1.1.200,aldose-6-phosphate reductase (NADPH),D-sorbitol 6-phosphate,NADP+,NA,NA,NA,NA,D-glucose 6-phosphate,NADPH,H+,NA,NA,NA,NA,NA
207,1.1.1.201,7beta-hydroxysteroid dehydrogenase (NADP+),a 7beta-hydroxysteroid,NADP+,NA,NA,NA,NA,a 7-oxosteroid,NADPH,H+,NA,NA,NA,NA,NA
208,1.1.1.202,"1,3-propanediol dehydrogenase","propane-1,3-diol",NAD+,NA,NA,NA,NA,3-hydroxypropanal,NADH,H+,NA,NA,NA,NA,NA
209,1.1.1.203,uronate dehydrogenase,beta-D-galacturonate,NAD+,NA,NA,NA,NA,"D-galactaro-1,5-lactone",NADH,H+,NA,NA,NA,NA,NA
210,1.1.1.203,uronate dehydrogenase,beta-D-glucuronate,NAD+,NA,NA,NA,NA,"D-glucaro-1,5-lactone",NADH,H+,NA,NA,NA,NA,NA
211,1.1.1.205,IMP dehydrogenase,IMP,NAD+,H2O,NA,NA,NA,XMP,NADH,H+,NA,NA,NA,NA,NA
212,1.1.1.206,tropinone reductase I,tropine,NADP+,NA,NA,NA,NA,tropinone,NADPH,H+,NA,NA,NA,NA,NA
213,1.1.1.207,(-)-menthol dehydrogenase,(-)-menthol,NADP+,NA,NA,NA,NA,(-)-menthone,NADPH,H+,NA,NA,NA,NA,NA
214,1.1.1.208,(+)-neomenthol dehydrogenase,(+)-neomenthol,NADP+,NA,NA,NA,NA,(-)-menthone,NADPH,H+,NA,NA,NA,NA,NA
215,1.1.1.209,3(or 17)alpha-hydroxysteroid dehydrogenase,androsterone,NAD(P)+,NA,NA,NA,NA,"5alpha-androstane-3,17-dione",NAD(P)H,H+,NA,NA,NA,NA,NA
216,1.1.1.210,3beta(or 20alpha)-hydroxysteroid dehydrogenase,"5alpha-androstan-3beta,17beta-diol",NADP+,NA,NA,NA,NA,17beta-hydroxy-5alpha-androstan-3-one,NADPH,H+,NA,NA,NA,NA,NA
217,1.1.1.211,long-chain-3-hydroxyacyl-CoA dehydrogenase,a long-chain (S)-3-hydroxyacyl-CoA,NAD+,NA,NA,NA,NA,a long-chain 3-oxoacyl-CoA,NADH,H+,NA,NA,NA,NA,NA
218,1.1.1.213,3alpha-hydroxysteroid 3-dehydrogenase (Re-specific),a 3alpha-hydroxysteroid,NAD(P)+,NA,NA,NA,NA,a 3-oxosteroid,NAD(P)H,H+,NA,NA,NA,NA,NA
219,1.1.1.214,2-dehydropantolactone reductase (Si-specific),(R)-pantolactone,NADP+,NA,NA,NA,NA,2-dehydropantolactone,NADPH,H+,NA,NA,NA,NA,NA
220,1.1.1.215,gluconate 2-dehydrogenase,D-gluconate,NADP+,NA,NA,NA,NA,2-dehydro-D-gluconate,NADPH,H+,NA,NA,NA,NA,NA
221,1.1.1.216,farnesol dehydrogenase (NADP+),"(2E,6E)-farnesol",NADP+,NA,NA,NA,NA,"(2E,6E)-farnesal",NADPH,H+,NA,NA,NA,NA,NA
222,1.1.1.217,benzyl-2-methyl-hydroxybutyrate dehydrogenase,"benzyl (2R,3S)-2-methyl-3-hydroxybutanoate",NADP+,NA,NA,NA,NA,benzyl 2-methyl-3-oxobutanoate,NADPH,H+,NA,NA,NA,NA,NA
223,1.1.1.218,morphine 6-dehydrogenase,morphine,NAD(P)+,NA,NA,NA,NA,morphinone,NAD(P)H,H+,NA,NA,NA,NA,NA
224,1.1.1.219,dihydroflavonol 4-reductase,"a (2R,3S,4S)-leucoanthocyanidin",NADP+,NA,NA,NA,NA,"a (2R,3R)-dihydroflavonol",NADPH,H+,NA,NA,NA,NA,NA
225,1.1.1.220,6-pyruvoyltetrahydropterin 2'-reductase,"6-lactoyl-5,6,7,8-tetrahydropterin",NADP+,NA,NA,NA,NA,6-pyruvoyltetrahydropterin,NADPH,H+,NA,NA,NA,NA,NA
226,1.1.1.221,vomifoliol dehydrogenase,"(6S,9R)-6-hydroxy-3-oxo-alpha-ionol",NAD+,NA,NA,NA,NA,(6S)-6-hydroxy-3-oxo-alpha-ionone,NADH,H+,NA,NA,NA,NA,NA
227,1.1.1.223,isopiperitenol dehydrogenase,(-)-trans-isopiperitenol,NAD+,NA,NA,NA,NA,(-)-isopiperitenone,NADH,H+,NA,NA,NA,NA,NA
228,1.1.1.224,mannose-6-phosphate 6-reductase,D-mannitol 1-phosphate,NADP+,NA,NA,NA,NA,D-mannose 6-phosphate,NADPH,H+,NA,NA,NA,NA,NA
229,1.1.1.225,chlordecone reductase,chlordecone alcohol,NADP+,NA,NA,NA,NA,chlordecone,NADPH,H+,NA,NA,NA,NA,NA
230,1.1.1.226,4-hydroxycyclohexanecarboxylate dehydrogenase,trans-4-hydroxycyclohexanecarboxylate,NAD+,NA,NA,NA,NA,4-oxocyclohexanecarboxylate,NADH,H+,NA,NA,NA,NA,NA
231,1.1.1.227,(-)-borneol dehydrogenase,(-)-borneol,NAD+,NA,NA,NA,NA,(-)-camphor,NADH,H+,NA,NA,NA,NA,NA
232,1.1.1.228,(+)-sabinol dehydrogenase,(+)-cis-sabinol,NAD+,NA,NA,NA,NA,(+)-sabinone,NADH,H+,NA,NA,NA,NA,NA
233,1.1.1.229,diethyl 2-methyl-3-oxosuccinate reductase,"diethyl (2R,3R)-2-methyl-3-hydroxysuccinate",NADP+,NA,NA,NA,NA,diethyl 2-methyl-3-oxosuccinate,NADPH,H+,NA,NA,NA,NA,NA
234,1.1.1.230,3alpha-hydroxyglycyrrhetinate dehydrogenase,3alpha-hydroxyglycyrrhetinate,NADP+,NA,NA,NA,NA,3-oxoglycyrrhetinate,NADPH,H+,NA,NA,NA,NA,NA
235,1.1.1.231,15-hydroxyprostaglandin-I dehydrogenase (NADP+),"(5Z,13E)-(15S)-6,9alpha-epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate",NADP+,NA,NA,NA,NA,"(5Z,13E)-6,9alpha-epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate",NADPH,H+,NA,NA,NA,NA,NA
236,1.1.1.232,15-hydroxyicosatetraenoate dehydrogenase,"(15S)-15-hydroxy-5,8,11-cis-13-trans-icosatetraenoate",NAD(P)+,NA,NA,NA,NA,"15-oxo-5,8,11-cis-13-trans-icosatetraenoate",NAD(P)H,H+,NA,NA,NA,NA,NA
237,1.1.1.233,N-acylmannosamine 1-dehydrogenase,N-acyl-D-mannosamine,NAD+,NA,NA,NA,NA,N-acyl-D-mannosaminolactone,NADH,H+,NA,NA,NA,NA,NA
238,1.1.1.234,flavanone 4-reductase,(2S)-flavan-4-ol,NADP+,NA,NA,NA,NA,(2S)-flavanone,NADPH,H+,NA,NA,NA,NA,NA
239,1.1.1.235,8-oxocoformycin reductase,coformycin,NADP+,NA,NA,NA,NA,8-oxocoformycin,NADPH,H+,NA,NA,NA,NA,NA
240,1.1.1.236,tropinone reductase II,pseudotropine,NADP+,NA,NA,NA,NA,tropinone,NADPH,H+,NA,NA,NA,NA,NA
241,1.1.1.237,hydroxyphenylpyruvate reductase,"(R)-3-(3,4-dihydroxyphenyl)lactate",NAD(P)+,NA,NA,NA,NA,"3-(3,4-dihydroxyphenyl)pyruvate",NAD(P)H,H+,NA,NA,NA,NA,NA
242,1.1.1.237,hydroxyphenylpyruvate reductase,(R)-3-(4-hydroxyphenyl)lactate,NAD(P)+,NA,NA,NA,NA,3-(4-hydroxyphenyl)pyruvate,NAD(P)H,H+,NA,NA,NA,NA,NA
243,1.1.1.238,12beta-hydroxysteroid dehydrogenase,"3alpha,7alpha,12beta-trihydroxy-5beta-cholan-24-oate",NADP+,NA,NA,NA,NA,"3alpha,7alpha-dihydroxy-12-oxo-5beta-cholan-24-oate",NADPH,H+,NA,NA,NA,NA,NA
244,1.1.1.239,3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+),testosterone,NAD+,NA,NA,NA,NA,androstenedione,NADH,H+,NA,NA,NA,NA,NA
245,1.1.1.240,N-acetylhexosamine 1-dehydrogenase,N-acetyl-alpha-D-glucosamine,NAD+,NA,NA,NA,NA,N-acetyl-D-glucosaminate,NADH,H+,NA,NA,NA,NA,NA
246,1.1.1.241,6-endo-hydroxycineole dehydrogenase,6-endo-hydroxycineole,NAD+,NA,NA,NA,NA,6-oxocineole,NADH,H+,NA,NA,NA,NA,NA
247,1.1.1.243,carveol dehydrogenase,(-)-trans-carveol,NADP+,NA,NA,NA,NA,(-)-carvone,NADPH,H+,NA,NA,NA,NA,NA
248,1.1.1.244,methanol dehydrogenase,methanol,NAD+,NA,NA,NA,NA,formaldehyde,NADH,H+,NA,NA,NA,NA,NA
249,1.1.1.245,cyclohexanol dehydrogenase,cyclohexanol,NAD+,NA,NA,NA,NA,cyclohexanone,NADH,H+,NA,NA,NA,NA,NA
250,1.1.1.247,codeinone reductase (NADPH),codeine,NADP+,NA,NA,NA,NA,codeinone,NADPH,H+,NA,NA,NA,NA,NA
251,1.1.1.248,salutaridine reductase (NADPH),salutaridinol,NADP+,NA,NA,NA,NA,salutaridine,NADPH,H+,NA,NA,NA,NA,NA
252,1.1.1.250,D-arabinitol 2-dehydrogenase,D-arabinitol,NAD+,NA,NA,NA,NA,D-ribulose,NADH,H+,NA,NA,NA,NA,NA
253,1.1.1.251,galactitol-1-phosphate 5-dehydrogenase,galactitol 1-phosphate,NAD+,NA,NA,NA,NA,D-tagatose 6-phosphate,NADH,H+,NA,NA,NA,NA,NA
254,1.1.1.252,tetrahydroxynaphthalene reductase,scytalone,NADP+,NA,NA,NA,NA,"1,3,6,8-tetrahydroxynaphthalene",NADPH,H+,NA,NA,NA,NA,NA
255,1.1.1.254,(S)-carnitine 3-dehydrogenase,(S)-carnitine,NAD+,NA,NA,NA,NA,3-dehydrocarnitine,NADH,H+,NA,NA,NA,NA,NA
256,1.1.1.255,mannitol dehydrogenase,D-mannitol,NAD+,NA,NA,NA,NA,D-mannose,NADH,H+,NA,NA,NA,NA,NA
257,1.1.1.256,fluoren-9-ol dehydrogenase,fluoren-9-ol,NAD(P)+,NA,NA,NA,NA,fluoren-9-one,NAD(P)H,H+,NA,NA,NA,NA,NA
258,1.1.1.257,4-(hydroxymethyl)benzenesulfonate dehydrogenase,4-(hydroxymethyl)benzenesulfonate,NAD+,NA,NA,NA,NA,4-formylbenzenesulfonate,NADH,H+,NA,NA,NA,NA,NA
259,1.1.1.258,6-hydroxyhexanoate dehydrogenase,6-hydroxyhexanoate,NAD+,NA,NA,NA,NA,6-oxohexanoate,NADH,H+,NA,NA,NA,NA,NA
260,1.1.1.259,3-hydroxypimeloyl-CoA dehydrogenase,3-hydroxypimeloyl-CoA,NAD+,NA,NA,NA,NA,3-oxopimeloyl-CoA,NADH,H+,NA,NA,NA,NA,NA
261,1.1.1.260,sulcatone reductase,sulcatol,NAD+,NA,NA,NA,NA,sulcatone,NADH,H+,NA,NA,NA,NA,NA
262,1.1.1.261,sn-glycerol-1-phosphate dehydrogenase,sn-glycerol 1-phosphate,NAD(P)+,NA,NA,NA,NA,glycerone phosphate,NAD(P)H,H+,NA,NA,NA,NA,NA
263,1.1.1.262,4-hydroxythreonine-4-phosphate dehydrogenase,4-phosphooxy-L-threonine,NAD+,NA,NA,NA,NA,3-amino-2-oxopropyl phosphate,CO2,NADH,H+,NA,NA,NA,NA
264,1.1.1.263,"1,5-anhydro-D-fructose reductase","1,5-anhydro-D-glucitol",NADP+,NA,NA,NA,NA,"1,5-anhydro-D-fructose",NADPH,H+,NA,NA,NA,NA,NA
265,1.1.1.264,L-idonate 5-dehydrogenase,L-idonate,NAD(P)+,NA,NA,NA,NA,5-dehydro-D-gluconate,NAD(P)H,H+,NA,NA,NA,NA,NA
266,1.1.1.265,3-methylbutanal reductase,3-methylbutanol,NAD(P)+,NA,NA,NA,NA,3-methylbutanal,NAD(P)H,H+,NA,NA,NA,NA,NA
267,1.1.1.266,dTDP-4-dehydro-6-deoxyglucose reductase,dTDP-alpha-D-fucopyranose,NAD(P)+,NA,NA,NA,NA,dTDP-4-dehydro-6-deoxy-alpha-D-glucose,NAD(P)H,H+,NA,NA,NA,NA,NA
268,1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase,2-C-methyl-D-erythritol 4-phosphate,NADP+,NA,NA,NA,NA,1-deoxy-D-xylulose 5-phosphate,NADPH,H+,NA,NA,NA,NA,NA
269,1.1.1.268,2-(R)-hydroxypropyl-CoM dehydrogenase,2-(R)-hydroxypropyl-CoM,NAD+,NA,NA,NA,NA,2-oxopropyl-CoM,NADH,H+,NA,NA,NA,NA,NA
270,1.1.1.269,2-(S)-hydroxypropyl-CoM dehydrogenase,(2S)-2-hydroxypropyl-CoM,NAD+,NA,NA,NA,NA,2-oxopropyl-CoM,NADH,H+,NA,NA,NA,NA,NA
271,1.1.1.270,3beta-hydroxysteroid 3-dehydrogenase,a 3beta-hydroxysteroid,NADP+,NA,NA,NA,NA,a 3-oxosteroid,NADPH,H+,NA,NA,NA,NA,NA
272,1.1.1.271,GDP-L-fucose synthase,GDP-beta-L-fucose,NADP+,NA,NA,NA,NA,GDP-4-dehydro-alpha-D-rhamnose,NADPH,H+,NA,NA,NA,NA,NA
273,1.1.1.272,D-2-hydroxyacid dehydrogenase (NADP+),an (R)-2-hydroxycarboxylate,NADP+,NA,NA,NA,NA,a 2-oxocarboxylate,NADPH,H+,NA,NA,NA,NA,NA
274,1.1.1.273,vellosimine dehydrogenase,10-deoxysarpagine,NADP+,NA,NA,NA,NA,vellosimine,NADPH,H+,NA,NA,NA,NA,NA
275,1.1.1.274,"2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)",2-dehydro-D-gluconate,NADP+,NA,NA,NA,NA,"2,5-didehydro-D-gluconate",NADPH,H+,NA,NA,NA,NA,NA
276,1.1.1.275,(+)-trans-carveol dehydrogenase,(+)-trans-carveol,NAD+,NA,NA,NA,NA,(+)-(S)-carvone,NADH,H+,NA,NA,NA,NA,NA
277,1.1.1.276,serine 3-dehydrogenase (NADP+),2-aminomalonate semialdehyde,NA,NA,NA,NA,NA,2-aminoacetaldehyde,CO2,NA,NA,NA,NA,NA,NA
278,1.1.1.276,serine 3-dehydrogenase (NADP+),L-serine,NADP+,NA,NA,NA,NA,2-aminoacetaldehyde,CO2,NADPH,H+,NA,NA,NA,NA
279,1.1.1.276,serine 3-dehydrogenase (NADP+),L-serine,NADP+,NA,NA,NA,NA,2-aminomalonate semialdehyde,NADPH,H+,NA,NA,NA,NA,NA
280,1.1.1.277,3beta-hydroxy-5beta-steroid dehydrogenase,3beta-hydroxy-5beta-pregnane-20-one,NADP+,NA,NA,NA,NA,"5beta-pregnan-3,20-dione",NADPH,H+,NA,NA,NA,NA,NA
281,1.1.1.278,3beta-hydroxy-5alpha-steroid dehydrogenase,3beta-hydroxy-5alpha-pregnane-20-one,NADP+,NA,NA,NA,NA,"5alpha-pregnan-3,20-dione",NADPH,H+,NA,NA,NA,NA,NA
282,1.1.1.279,(R)-3-hydroxyacid-ester dehydrogenase,ethyl (R)-3-hydroxyhexanoate,NADP+,NA,NA,NA,NA,ethyl 3-oxohexanoate,NADPH,H+,NA,NA,NA,NA,NA
283,1.1.1.280,(S)-3-hydroxyacid-ester dehydrogenase,ethyl (S)-3-hydroxyhexanoate,NADP+,NA,NA,NA,NA,ethyl 3-oxohexanoate,NADPH,H+,NA,NA,NA,NA,NA
284,1.1.1.281,GDP-4-dehydro-6-deoxy-D-mannose reductase,GDP-alpha-D-rhamnose,NAD(P)+,NA,NA,NA,NA,GDP-4-dehydro-alpha-D-rhamnose,NAD(P)H,H+,NA,NA,NA,NA,NA
285,1.1.1.282,quinate/shikimate dehydrogenase,L-quinate,NAD(P)+,NA,NA,NA,NA,3-dehydroquinate,NAD(P)H,H+,NA,NA,NA,NA,NA
286,1.1.1.282,quinate/shikimate dehydrogenase,shikimate,NAD(P)+,NA,NA,NA,NA,3-dehydroshikimate,NAD(P)H,H+,NA,NA,NA,NA,NA
287,1.1.1.283,methylglyoxal reductase (NADPH),(S)-lactaldehyde,NADP+,NA,NA,NA,NA,2-oxopropanal,NADPH,H+,NA,NA,NA,NA,NA
